item_policy_number,i_coverage_start_date,i_coverage_end_date,i_policy_dependents,item_insurance_id,item_id,customer_id
687435,1858395600000,1858482000000,0,155122,5544,184586
989864,1889931600000,1890018000000,0,155111,8845,286574
357949,1921467600000,1921554000000,0,635812,2224,665812
544464,1008910800000,1008997200000,0,114652,6642,123884
466463,1040446800000,1040533200000,0,354644,7784,135465
644643,1071982800000,1072069200000,0,988542,5245,784542
646433,1103605200000,1103691600000,0,464646,2244,265462
389491,1135141200000,1135227600000,0,466485,3235,257548
466613,1166677200000,1166763600000,0,644646,4554,215484
5456224,1198213200000,1198299600000,0,656661,8856,358456
